,date,returns
0,2015-01-01,0.02805610999999996
1,2015-02-01,0.06967969999999996
2,2015-03-01,-0.008273900000000004
3,2015-04-01,-0.025945449999999984
4,2015-05-01,0.026957049999999996
5,2015-06-01,0.011575279999999997
6,2015-07-01,0.039524740000000044
7,2015-08-01,-0.020152559999999986
8,2015-09-01,0.025264990000000015
9,2015-10-01,-0.024843520000000077
10,2015-11-01,0.012272860000000007
11,2015-12-01,0.035292649999999995
12,2016-01-01,0.017083550000000003
13,2016-02-01,0.05886515000000002
14,2016-03-01,-0.007397850000000039
15,2016-04-01,-0.01129252
16,2016-05-01,0.07711636000000001
17,2016-06-01,0.026814139999999983
18,2016-07-01,0.013105029999999997
19,2016-08-01,-0.0034303899999999984
20,2016-09-01,0.02771408999999998
21,2016-10-01,-0.010482610000000003
22,2016-11-01,-0.06136718000000002
23,2016-12-01,-0.012091569999999996
24,2017-01-01,-0.045843830000000016
25,2017-02-01,0.043060709999999995
26,2017-03-01,-0.006231720000000005
27,2017-04-01,-0.010153640000000002
28,2017-05-01,0.03166283000000001
29,2017-06-01,0.021888699999999994
30,2017-07-01,-0.009840040000000001
31,2017-08-01,-0.019361820000000002
32,2017-09-01,-0.04065327999999996
33,2017-10-01,0.005107300000000006
34,2017-11-01,0.05086847
35,2017-12-01,-0.02194180000000001
36,2018-01-01,-0.004301989999999985
37,2018-02-01,-0.0013717000000000035
38,2018-03-01,0.004696620000000012
39,2018-04-01,0.016462529999999972
40,2018-05-01,-0.01993116999999995
41,2018-06-01,0.004425160000000003
42,2018-07-01,-0.005918499999999976
43,2018-08-01,0.08030517999999999
44,2018-09-01,0.035216070000000016
45,2018-10-01,0.016554239999999845
46,2018-11-01,0.00507975999999999
47,2018-12-01,-0.009522039999999926
48,2019-01-01,-0.016769770000000045
49,2019-02-01,0.021662380000000012
50,2019-03-01,0.10816411
51,2019-04-01,-0.002347910000000019
52,2019-05-01,0.014636659999999996
53,2019-06-01,-0.0068529800000000154
54,2019-07-01,-0.06274513999999999
55,2019-08-01,-0.009393829999999964
56,2019-09-01,-0.03519353000000001
57,2019-10-01,-0.025710600000000007
58,2019-11-01,0.019823359999999984
59,2019-12-01,-0.051754799999999976
60,2020-01-01,-0.1556149700000001
61,2020-02-01,0.12198382
62,2020-03-01,-0.06611244999999999
63,2020-04-01,0.008615480000000064
64,2020-05-01,-0.03375388000000011
65,2020-06-01,-0.16717109
66,2020-07-01,0.24323181999999993
67,2020-08-01,0.02865581000000006
68,2020-09-01,-0.04558949999999996
69,2020-10-01,0.08361985999999998
70,2020-11-01,-0.06836943999999984
71,2020-12-01,0.017496400000000037
72,2021-01-01,0.036739119999999986
73,2021-02-01,0.06661956000000002
74,2021-03-01,0.0005903099999999967
75,2021-04-01,0.019084569999999995
76,2021-05-01,0.029658900000000005
77,2021-06-01,-0.02606455
78,2021-07-01,0.013831590000000026
79,2021-08-01,0.02521145000000001
80,2021-09-01,0.004752509999999998
81,2021-10-01,0.03146349
82,2021-11-01,0.07312754000000002
83,2021-12-01,0.03252659
84,2022-01-01,0.035180639999999985
85,2022-02-01,-0.006151429999999999
86,2022-03-01,0.11796244000000003
87,2022-04-01,-0.004908770000000007
88,2022-05-01,0.0036652600000000035
89,2022-06-01,0.024718620000000028
90,2022-07-01,-0.047171270000000036
91,2022-08-01,0.06894853999999999
92,2022-09-01,-0.05078008999999989
93,2022-10-01,-0.06774175000000002
94,2022-11-01,-0.06724986999999999
95,2022-12-01,-0.06150686999999998
96,2023-01-01,-0.16451149000000004
97,2023-02-01,0.03955104999999998
98,2023-03-01,0.11772785000000002
99,2023-04-01,0.012550999999999998
100,2023-05-01,-0.05525297
101,2023-06-01,0.05623697
102,2023-07-01,-0.007134140000000011
103,2023-08-01,0.1078195300000001
104,2023-09-01,0.07483838000000008
105,2023-10-01,0.14068401000000003
106,2023-11-01,0.024230330000000022
107,2023-12-01,0.03884338999999997
108,2024-01-01,0.1605254099999999
109,2024-02-01,0.07716616999999999
110,2024-03-01,0.036645569999999995
111,2024-04-01,0.08223014999999995
112,2024-05-01,-0.034296949999999965
113,2024-06-01,0.12425560000000005
114,2024-07-01,0.01121260999999997
115,2024-08-01,0.1617027299999999
116,2024-09-01,0.10629803000000007
117,2024-10-01,0.14655401
118,2024-11-01,0.09342273000000001
119,2024-12-01,-0.02240816999999999
120,2025-01-01,-0.014104659999999988
121,2025-02-01,0.03467469
122,2025-03-01,0.018730929999999993
123,2025-04-01,0.0012061300000000136
124,2025-05-01,-0.012590609999999995
125,2025-06-01,0.06457085000000003
126,2025-07-01,0.0
127,2025-08-01,0.0
128,2025-09-01,0.0
129,2025-10-01,0.0
130,2025-11-01,0.0
131,2025-12-01,0.0
