,exit_date,avg_pnl_dollars,log,sum,bench
0,20150227,1.022418076809339,0.022170485245138545,0.022170485245138545,0.022418076809338938
1,20150331,1.0076059357367069,0.007577156444336465,0.02974764168947501,0.030194522997598172
2,20150430,1.0461598860720498,0.04512620871502735,0.07487385040450237,0.07774818481121692
3,20150529,1.0285341182233667,0.028134602359276117,0.10300845276377849,0.10850077893163923
4,20150630,1.018571947458841,0.018401594797393676,0.12141004756117216,0.12908779715604202
5,20150731,1.0729562731155207,0.07041771082891342,0.1918277583900856,0.21146183485675984
6,20150831,0.9600126644013245,-0.040808802522556906,0.15101895586752867,0.1630187039013553
7,20150930,0.9758453365851895,-0.02445117173974037,0.1265677841277883,0.13492637856348888
8,20151030,1.0698134740155925,0.06748430992782001,0.1940520940556083,0.21415953180294145
9,20151130,0.9626071781995723,-0.03810986504600965,0.15594222900959864,0.16875868079294332
10,20151231,1.0449134004396285,0.043934011590133666,0.1998762405997323,0.22125160744068872
11,20160229,1.0004433936630583,0.0004432953931352255,0.20031953599286753,0.22179310266442775
12,20160331,0.9225062918926974,-0.0806610826108254,0.11965845338204213,0.12711182459903503
13,20160429,0.97732858363231,-0.022932364513313905,0.09672608886872823,0.1015586031306035
14,20160531,1.001424077806266,0.0014230647691152501,0.09814915363784348,0.10312730828962313
15,20160630,0.9917112190518841,-0.008323323904684777,0.0898258297331587,0.09398372767332575
16,20160729,1.1161025032562215,0.10984270853717422,0.19966853827033293,0.22099797697777146
17,20160831,1.0708866899400897,0.06848698749330248,0.26815552576363544,0.3075504819892716
18,20160930,0.99449951416431,-0.005515669210793553,0.2626398565528419,0.30035831908363986
19,20161031,0.9785370485122687,-0.021696630305525044,0.24094322624731684,0.27244879156448
20,20161130,1.0228570318783738,0.022599723418438536,0.26354294966575537,0.3015331941568675
21,20161230,1.0546528973817404,0.05321170557218076,0.3167546552379361,0.37266575425605164
22,20170228,0.9568071495666959,-0.04415342344046887,0.27260123179746726,0.31337640763755137
23,20170331,0.9941121302664412,-0.005905271578710721,0.2666959602187565,0.30564341843825216
24,20170428,0.9907870530866286,-0.00925564858328462,0.2574403116354719,0.29361459493638775
25,20170531,0.9709521088238267,-0.02947813340682089,0.22796217822865097,0.256037818958766
26,20170630,0.9969818395700771,-0.00302272426134353,0.22493945396730744,0.25224689531509803
27,20170731,0.9969094691122059,-0.0030953164408548967,0.22184413752645255,0.24837678760598236
